班次,方向,出發站,出發時間,到達站,到達時間
1,去程,高鐵臺中站,06:30,日月潭,07:50
1,去程,日月潭,07:50,向山行政中心,08:05
1,回程,向山行政中心,08:15,日月潭,08:30
1,回程,日月潭,08:30,高鐵臺中站,09:50
2,去程,高鐵臺中站,07:00,日月潭,08:20
2,去程,日月潭,08:20,向山行政中心,08:35
2,回程,向山行政中心,08:45,日月潭,09:00
2,回程,日月潭,09:00,高鐵臺中站,10:20
3,去程,高鐵臺中站,07:30,日月潭,08:50
3,去程,日月潭,08:50,向山行政中心,09:05
3,回程,向山行政中心,09:15,日月潭,09:30
3,回程,日月潭,09:30,高鐵臺中站,10:50
4,去程,高鐵臺中站,08:00,日月潭,09:20
4,去程,日月潭,09:20,向山行政中心,09:35
4,回程,向山行政中心,09:45,日月潭,10:00
4,回程,日月潭,10:00,高鐵臺中站,11:20
5,去程,高鐵臺中站,08:20,日月潭,09:40
5,去程,日月潭,09:40,向山行政中心,09:55
5,回程,向山行政中心,10:05,日月潭,10:20
5,回程,日月潭,10:20,高鐵臺中站,11:40
6,去程,高鐵臺中站,08:40,日月潭,10:00
6,去程,日月潭,10:00,向山行政中心,10:15
6,回程,向山行政中心,10:25,日月潭,10:40
6,回程,日月潭,10:40,高鐵臺中站,12:00
7,去程,高鐵臺中站,09:00,日月潭,10:20
7,去程,日月潭,10:20,向山行政中心,10:35
7,回程,向山行政中心,10:45,日月潭,11:00
7,回程,日月潭,11:00,高鐵臺中站,12:20
8,去程,高鐵臺中站,09:20,日月潭,10:40
8,去程,日月潭,10:40,向山行政中心,10:55
8,回程,向山行政中心,11:05,日月潭,11:20
8,回程,日月潭,11:20,高鐵臺中站,12:40
9,去程,高鐵臺中站,09:40,日月潭,11:00
9,去程,日月潭,11:00,向山行政中心,11:15
9,回程,向山行政中心,11:25,日月潭,11:40
9,回程,日月潭,11:40,高鐵臺中站,13:00
10,去程,高鐵臺中站,10:00,日月潭,11:20
10,去程,日月潭,11:20,向山行政中心,11:35
10,回程,向山行政中心,11:45,日月潭,12:00
10,回程,日月潭,12:00,高鐵臺中站,13:20
11,去程,高鐵臺中站,10:20,日月潭,11:40
11,去程,日月潭,11:40,向山行政中心,11:55
11,回程,向山行政中心,12:05,日月潭,12:20
11,回程,日月潭,12:20,高鐵臺中站,13:40
12,去程,高鐵臺中站,10:40,日月潭,12:00
12,去程,日月潭,12:00,向山行政中心,12:15
