班次,高鐵臺中站,日月潭,向山行政中心
1,7:45,9:05,-
2,7:55,9:15,-
3,8:10,9:40,-
4,8:25,9:45,-
5,8:20,10:10,-
6,8:35,10:05,-
7,8:45,10:05,10:15
8,9:10,10:40,-
9,9:25,10:45,-
10,9:45,11:05,11:15
11,10:10,11:40,-
12,10:45,12:05,-
13,11:10,12:30,-
14,11:45,13:05,13:15
15,12:10,13:30,-
16,12:45,14:05,14:15
17,13:00,14:20,-
18,13:10,14:30,-
19,13:45,15:05,-
20,13:50,15:40,-
21,14:10,15:30,-
22,14:45,16:05,-
23,14:55,16:15,-
24,15:10,16:30,-
25,15:45,17:05,-
26,16:10,17:40,-
27,16:45,18:05,-
28,17:10,18:30,-
29,18:10,19:30,-
30,19:10,20:30,-
31,20:10,21:30,-
