班次,方向,出發站,出發時間,到達站,到達時間
1,去程,高鐵臺中站,7:45,日月潭,9:05
1,去程,日月潭,9:05,高鐵臺中站,7:45
2,去程,高鐵臺中站,7:55,日月潭,9:15
2,去程,日月潭,9:15,高鐵臺中站,7:55
3,去程,高鐵臺中站,8:10,日月潭,9:40
3,去程,日月潭,9:40,高鐵臺中站,8:10
4,去程,高鐵臺中站,8:25,日月潭,9:45
4,去程,日月潭,9:45,高鐵臺中站,8:25
5,去程,高鐵臺中站,8:35,日月潭,10:05
5,去程,日月潭,10:05,高鐵臺中站,8:35
6,去程,高鐵臺中站,8:45,日月潭,10:05
6,去程,高鐵臺中站,8:45,向山行政中心,10:15
6,去程,日月潭,10:05,高鐵臺中站,8:45
6,去程,日月潭,10:05,向山行政中心,10:15
6,去程,向山行政中心,10:15,高鐵臺中站,8:45
6,去程,向山行政中心,10:15,日月潭,10:05
7,去程,高鐵臺中站,9:10,日月潭,10:40
7,去程,日月潭,10:40,高鐵臺中站,9:10
8,去程,高鐵臺中站,9:25,日月潭,10:45
8,去程,日月潭,10:45,高鐵臺中站,9:25
9,去程,高鐵臺中站,9:45,日月潭,11:05
9,去程,高鐵臺中站,9:45,向山行政中心,11:15
9,去程,日月潭,11:05,高鐵臺中站,9:45
9,去程,日月潭,11:05,向山行政中心,11:15
9,去程,向山行政中心,11:15,高鐵臺中站,9:45
9,去程,向山行政中心,11:15,日月潭,11:05
10,去程,高鐵臺中站,10:10,日月潭,11:40
10,去程,日月潭,11:40,高鐵臺中站,10:10
11,去程,高鐵臺中站,10:45,日月潭,12:05
11,去程,日月潭,12:05,高鐵臺中站,10:45
12,去程,高鐵臺中站,11:10,日月潭,12:30
12,去程,日月潭,12:30,高鐵臺中站,11:10
13,去程,高鐵臺中站,11:45,日月潭,13:05
13,去程,高鐵臺中站,11:45,向山行政中心,13:15
13,去程,日月潭,13:05,高鐵臺中站,11:45
13,去程,日月潭,13:05,向山行政中心,13:15
13,去程,向山行政中心,13:15,高鐵臺中站,11:45
13,去程,向山行政中心,13:15,日月潭,13:05
14,去程,高鐵臺中站,12:10,日月潭,13:30
14,去程,日月潭,13:30,高鐵臺中站,12:10
15,去程,高鐵臺中站,12:45,日月潭,14:05
15,去程,高鐵臺中站,12:45,向山行政中心,14:15
15,去程,日月潭,14:05,高鐵臺中站,12:45
15,去程,日月潭,14:05,向山行政中心,14:15
15,去程,向山行政中心,14:15,高鐵臺中站,12:45
15,去程,向山行政中心,14:15,日月潭,14:05
16,去程,高鐵臺中站,13:00,日月潭,14:20
16,去程,日月潭,14:20,高鐵臺中站,13:00
17,去程,高鐵臺中站,13:10,日月潭,14:30
17,去程,日月潭,14:30,高鐵臺中站,13:10
18,去程,高鐵臺中站,13:45,日月潭,15:05
18,去程,日月潭,15:05,高鐵臺中站,13:45
19,去程,高鐵臺中站,14:10,日月潭,15:30
19,去程,日月潭,15:30,高鐵臺中站,14:10
20,去程,高鐵臺中站,14:45,日月潭,16:05
20,去程,日月潭,16:05,高鐵臺中站,14:45
21,去程,高鐵臺中站,14:55,日月潭,16:15
21,去程,日月潭,16:15,高鐵臺中站,14:55
22,去程,高鐵臺中站,15:10,日月潭,16:30
22,去程,日月潭,16:30,高鐵臺中站,15:10
23,去程,高鐵臺中站,16:10,日月潭,17:40
23,去程,日月潭,17:40,高鐵臺中站,16:10
24,去程,高鐵臺中站,16:45,日月潭,18:05
24,去程,日月潭,18:05,高鐵臺中站,16:45
25,去程,高鐵臺中站,17:10,日月潭,18:30
25,去程,日月潭,18:30,高鐵臺中站,17:10
26,去程,高鐵臺中站,18:10,日月潭,19:30
26,去程,日月潭,19:30,高鐵臺中站,18:10
27,去程,高鐵臺中站,19:10,日月潭,20:30
27,去程,日月潭,20:30,高鐵臺中站,19:10
1,回程,高鐵臺中站,7:50,日月潭,6:50
1,回程,日月潭,6:50,高鐵臺中站,7:50
2,回程,高鐵臺中站,8:50,日月潭,7:25
2,回程,日月潭,7:25,高鐵臺中站,8:50
3,回程,高鐵臺中站,9:50,日月潭,8:25
3,回程,日月潭,8:25,高鐵臺中站,9:50
4,回程,高鐵臺中站,10:50,日月潭,9:10
4,回程,日月潭,9:10,高鐵臺中站,10:50
5,回程,高鐵臺中站,11:00,日月潭,9:40
5,回程,日月潭,9:40,高鐵臺中站,11:00
6,回程,高鐵臺中站,11:20,日月潭,10:00
6,回程,日月潭,10:00,高鐵臺中站,11:20
7,回程,高鐵臺中站,11:30,日月潭,10:10
7,回程,日月潭,10:10,高鐵臺中站,11:30
