班次,高鐵臺中站,日月潭,向山行政中心
1,7:45,9:05,-
2,7:55,9:15,-
3,8:10,9:40,-
4,8:25,9:45,-
5,8:35,10:05,-
6,8:45,10:05,10:15
7,9:10,10:40,-
8,9:25,10:45,-
9,9:45,11:05,11:15
10,10:10,11:40,-
11,10:45,12:05,-
12,11:10,12:30,-
13,11:45,13:05,13:15
14,12:10,13:30,-
15,12:45,14:05,14:15
16,13:00,14:20,-
17,13:10,14:30,-
18,13:45,15:05,-
19,14:10,15:30,-
20,14:45,16:05,-
21,14:55,16:15,-
22,15:10,16:30,-
23,16:10,17:40,-
24,16:45,18:05,-
25,17:10,18:30,-
26,18:10,19:30,-
27,19:10,20:30,-
